time,msg,oid,tid,fid,side,price,qty
15,ackn,153, , , , , 
15,add, ,9, ,buy,5033,52
15,ackn,154, , , , , 
16,add, ,0, ,sell,5106,7
16,ackn,155, , , , , 
16,add, ,1, ,buy,5036,77
16,ackn,156, , , , , 
16,fill,151, ,19, , ,16
16,fill,156, ,20, , ,16
16,add, ,2, ,buy,4933,9
16,ackn,157, , , , , 
16,add, ,3, ,buy,5024,29
16,ackn,158, , , , , 
16,cancel,129, , , , ,0
16,add, ,5, ,sell,5082,40
16,ackn,159, , , , , 
16,add, ,6, ,sell,5095,47
16,ackn,160, , , , , 
16,add, ,7, ,sell,5054,18
16,ackn,161, , , , , 
16,add, ,8, ,buy,5013,21
16,ackn,162, , , , , 
16,add, ,9, ,sell,5047,10
16,ackn,163, , , , , 
17,add, ,0, ,buy,4964,11
17,ackn,164, , , , , 
17,add, ,1, ,sell,5129,47
17,ackn,165, , , , , 
17,add, ,2, ,buy,5013,17
17,ackn,166, , , , , 
17,add, ,3, ,buy,5016,28
17,ackn,167, , , , , 
17,add, ,4, ,sell,5053,2
17,ackn,168, , , , , 
17,add, ,5, ,sell,5083,1
17,ackn,169, , , , , 
17,add, ,6, ,sell,5052,8
17,ackn,170, , , , , 
17,add, ,7, ,buy,4992,38
17,ackn,171, , , , , 
17,add, ,8, ,buy,4797,8
17,ackn,172, , , , , 
17,add, ,9, ,sell,5035,27
17,ackn,173, , , , , 
17,fill,156, ,21, , ,27
17,fill,173, ,22, , ,27
18,add, ,0, ,sell,5052,65
18,ackn,174, , , , , 
18,add, ,1, ,sell,5107,2
18,ackn,175, , , , , 
18,add, ,2, ,buy,5037,83
18,ackn,176, , , , , 
18,fill,135, ,23, , ,53
18,fill,176, ,24, , ,53
18,add, ,3, ,sell,5051,4
18,ackn,177, , , , , 
18,cancel,64, , , , ,3
18,add, ,5, ,buy,4986,46
18,ackn,178, , , , , 
18,add, ,6, ,sell,5052,43
18,ackn,179, , , , , 
18,add, ,7, ,buy,5038,7
18,ackn,180, , , , , 
18,fill,36, ,25, , ,7
18,fill,180, ,26, , ,7
18,add, ,8, ,sell,5043,20
18,ackn,181, , , , , 
18,add, ,9, ,buy,4984,8
18,ackn,182, , , , , 
19,add, ,0, ,buy,5010,63
19,ackn,183, , , , , 
19,add, ,1, ,sell,5042,17
19,ackn,184, , , , , 
19,add, ,2, ,sell,5036,3
19,ackn,185, , , , , 
19,fill,176, ,27, , ,3
19,fill,185, ,28, , ,3
19,add, ,3, ,buy,5003,4
19,ackn,186, , , , , 
19,add, ,4, ,buy,4992,12
19,ackn,187, , , , , 
19,add, ,5, ,sell,5076,18
19,ackn,188, , , , , 
19,add, ,6, ,sell,5045,13
19,ackn,189, , , , , 
19,add, ,7, ,sell,5095,55
19,ackn,190, , , , , 
19,add, ,8, ,buy,4969,7
19,ackn,191, , , , , 
19,add, ,9, ,buy,5011,4
19,ackn,192, , , , , 
20,add, ,0, ,sell,5036,52
20,ackn,193, , , , , 
20,fill,176, ,29, , ,27
20,fill,156, ,30, , ,25
20,fill,193, ,31, , ,52
20,add, ,1, ,sell,5076,12
20,ackn,194, , , , , 
20,add, ,2, ,buy,4964,39
20,ackn,195, , , , , 
20,add, ,3, ,sell,5082,7
20,ackn,196, , , , , 
20,add, ,4, ,buy,5024,7
20,ackn,197, , , , , 
20,add, ,5, ,sell,5049,7
20,ackn,198, , , , , 
20,cancel,131, , , , ,0
20,add, ,7, ,buy,5021,53
20,ackn,199, , , , , 
20,cancel,86, , , , ,0
20,add, ,9, ,sell,5034,48
20,ackn,200, , , , , 
20,fill,156, ,32, , ,9
20,fill,200, ,33, , ,9
21,add, ,0, ,buy,4992,27
21,ackn,201, , , , , 
21,add, ,1, ,sell,5049,36
21,ackn,202, , , , , 
21,add, ,2, ,buy,5021,7
21,ackn,203, , , , , 
21,add, ,3, ,buy,4931,34
21,ackn,204, , , , , 
21,add, ,4, ,buy,5025,21
21,ackn,205, , , , , 
21,add, ,5, ,sell,5081,13
21,ackn,206, , , , , 
21,add, ,6, ,buy,5025,41
21,ackn,207, , , , , 
21,add, ,7, ,buy,5012,22
21,ackn,208, , , , , 
21,add, ,8, ,sell,5096,35
21,ackn,209, , , , , 
21,cancel,105, , , , ,7
22,add, ,0, ,sell,5208,18
22,ackn,210, , , , , 
22,add, ,1, ,buy,5016,21
22,ackn,211, , , , , 
22,add, ,2, ,sell,5060,49
22,ackn,212, , , , , 
22,add, ,3, ,sell,5063,3
22,ackn,213, , , , , 
22,add, ,4, ,sell,5043,3
22,ackn,214, , , , , 
22,cancel,83, , , , ,0
22,add, ,6, ,buy,5000,29
22,ackn,215, , , , , 
22,add, ,7, ,buy,5003,77
22,ackn,216, , , , , 
22,add, ,8, ,sell,5058,12
22,ackn,217, , , , , 
22,cancel,49, , , , ,0
23,add, ,0, ,sell,5035,6
23,ackn,218, , , , , 
23,add, ,1, ,sell,5047,49
23,ackn,219, , , , , 
23,add, ,2, ,sell,5031,25
23,ackn,220, , , , , 
23,fill,154, ,34, , ,25
23,fill,220, ,35, , ,25
23,add, ,3, ,buy,5026,55
23,ackn,221, , , , , 
23,add, ,4, ,sell,5034,39
23,ackn,222, , , , , 
23,add, ,5, ,sell,5052,9
23,ackn,223, , , , , 
23,add, ,6, ,sell,5172,50
23,ackn,224, , , , , 
23,add, ,7, ,sell,5032,26
23,ackn,225, , , , , 
23,fill,154, ,36, , ,26
23,fill,225, ,37, , ,26
23,add, ,8, ,sell,5089,19
23,ackn,226, , , , , 
23,add, ,9, ,sell,5053,1
23,ackn,227, , , , , 
24,add, ,0, ,buy,4933,23
24,ackn,228, , , , , 
24,add, ,1, ,sell,5028,32
24,ackn,229, , , , , 
24,fill,154, ,38, , ,1
24,fill,77, ,39, , ,31
24,fill,229, ,40, , ,32
24,add, ,2, ,sell,5038,35
24,ackn,230, , , , , 
24,add, ,3, ,sell,5048,21
24,ackn,231, , , , , 
24,add, ,4, ,sell,5065,29
24,ackn,232, , , , , 
24,add, ,5, ,sell,5036,11
24,ackn,233, , , , , 
24,add, ,6, ,buy,4968,37
24,ackn,234, , , , , 
24,add, ,7, ,sell,5054,2
24,ackn,235, , , , , 
24,add, ,8, ,sell,5032,43
24,ackn,236, , , , , 
24,fill,77, ,41, , ,1
24,fill,132, ,42, , ,24
24,fill,236, ,43, , ,25
24,add, ,9, ,buy,4961,1
24,ackn,237, , , , , 
25,add, ,0, ,buy,5029,24
25,ackn,238, , , , , 
25,add, ,1, ,buy,4988,12
25,ackn,239, , , , , 
25,add, ,2, ,buy,4988,20
25,ackn,240, , , , , 
25,add, ,3, ,buy,4979,62
25,ackn,241, , , , , 
25,add, ,4, ,sell,5088,28
25,ackn,242, , , , , 
25,add, ,5, ,sell,5081,18
25,ackn,243, , , , , 
25,add, ,6, ,sell,5082,34
25,ackn,244, , , , , 
25,add, ,7, ,sell,5032,65
25,ackn,245, , , , , 
25,add, ,8, ,sell,5052,9
25,ackn,246, , , , , 
25,add, ,9, ,sell,5166,69
25,ackn,247, , , , , 
26,cancel,40, , , , ,0
26,add, ,1, ,buy,4980,10
26,ackn,248, , , , , 
26,add, ,2, ,sell,5067,11
26,ackn,249, , , , , 
26,add, ,3, ,sell,5218,6
26,ackn,250, , , , , 
26,add, ,4, ,sell,5039,18
26,ackn,251, , , , , 
26,add, ,5, ,sell,5045,27
26,ackn,252, , , , , 
26,add, ,6, ,buy,5020,27
26,ackn,253, , , , , 
26,add, ,7, ,sell,5050,18
26,ackn,254, , , , , 
26,add, ,8, ,buy,5005,19
26,ackn,255, , , , , 
26,add, ,9, ,buy,5011,52
26,ackn,256, , , , , 
27,add, ,0, ,sell,5045,45
27,ackn,257, , , , , 
27,add, ,1, ,buy,4991,14
27,ackn,258, , , , , 
27,add, ,2, ,buy,4992,28
27,ackn,259, , , , , 
27,add, ,3, ,sell,5047,8
27,ackn,260, , , , , 
27,add, ,4, ,buy,4993,28
27,ackn,261, , , , , 
27,cancel,233, , , , ,8
27,add, ,6, ,sell,5075,48
27,ackn,262, , , , , 
27,add, ,7, ,sell,5128,10
27,ackn,263, , , , , 
27,add, ,8, ,buy,4934,16
27,ackn,264, , , , , 
27,add, ,9, ,sell,5036,17
27,ackn,265, , , , , 
28,add, ,0, ,buy,5017,14
28,ackn,266, , , , , 
28,cancel,11, , , , ,0
28,add, ,2, ,buy,5023,27
28,ackn,267, , , , , 
28,add, ,3, ,buy,5006,5
28,ackn,268, , , , , 
28,add, ,4, ,buy,5013,5
28,ackn,269, , , , , 
28,add, ,5, ,buy,5010,19
28,ackn,270, , , , , 
28,add, ,6, ,sell,5063,2
28,ackn,271, , , , , 
28,cancel,57, , , , ,0
28,add, ,8, ,sell,5062,21
28,ackn,272, , , , , 
28,cancel,105, , , , ,0
29,add, ,0, ,buy,4983,13
29,ackn,273, , , , , 
29,add, ,1, ,sell,5029,28
29,ackn,274, , , , , 
29,fill,25, ,44, , ,28
29,fill,274, ,45, , ,28
29,add, ,2, ,sell,5032,87
29,ackn,275, , , , , 
29,cancel,221, , , , ,30
29,add, ,4, ,buy,4989,31
29,ackn,276, , , , , 
29,add, ,5, ,sell,5028,75
29,ackn,277, , , , , 
29,fill,25, ,46, , ,24
29,fill,75, ,47, , ,18
29,fill,35, ,48, , ,9
29,fill,46, ,49, , ,24
29,fill,277, ,50, , ,75
29,add, ,6, ,buy,5006,5
29,ackn,278, , , , , 
29,add, ,7, ,sell,5036,15
29,ackn,279, , , , , 
29,add, ,8, ,sell,5039,5
29,ackn,280, , , , , 
29,add, ,9, ,sell,5031,9
29,ackn,281, , , , , 
30,add, ,0, ,sell,5030,24
30,ackn,282, , , , , 
30,fill,46, ,51, , ,3
30,fill,80, ,52, , ,7
30,fill,282, ,53, , ,10
30,add, ,1, ,sell,5058,40
30,ackn,283, , , , , 
30,add, ,2, ,sell,5038,24
30,ackn,284, , , , , 
30,cancel,231, , , , ,0
30,add, ,4, ,sell,5029,16
30,ackn,285, , , , , 
30,fill,1, ,54, , ,16
30,fill,285, ,55, , ,16
30,add, ,5, ,buy,4805,13
30,ackn,286, , , , , 
30,add, ,6, ,sell,5072,16
30,ackn,287, , , , , 
30,add, ,7, ,sell,5097,35
30,ackn,288, , , , , 
30,add, ,8, ,buy,4879,32
30,ackn,289, , , , , 
30,add, ,9, ,buy,5006,62
30,ackn,290, , , , , 
31,add, ,0, ,sell,5100,16
31,ackn,291, , , , , 
31,add, ,1, ,buy,4996,16
31,ackn,292, , , , , 
31,add, ,2, ,sell,5060,30
31,ackn,293, , , , , 
31,add, ,3, ,sell,5022,43
31,ackn,294, , , , , 
31,fill,1, ,56, , ,17
31,fill,14, ,57, , ,11
31,fill,32, ,58, , ,10
31,fill,67, ,59, , ,5
31,fill,294, ,60, , ,43
31,add, ,4, ,buy,4965,15
31,ackn,295, , , , , 
31,add, ,5, ,sell,5117,63
31,ackn,296, , , , , 
31,add, ,6, ,buy,4962,61
31,ackn,297, , , , , 
31,add, ,7, ,sell,5032,8
31,ackn,298, , , , , 
31,add, ,8, ,buy,4953,30
31,ackn,299, , , , , 
31,add, ,9, ,sell,5036,32
31,ackn,300, , , , , 
32,add, ,0, ,buy,4950,4
32,ackn,301, , , , , 
32,add, ,1, ,buy,4956,54
32,ackn,302, , , , , 
32,add, ,2, ,sell,5052,13
32,ackn,303, , , , , 
32,add, ,3, ,buy,4995,22
32,ackn,304, , , , , 
32,add, ,4, ,sell,5029,1
32,ackn,305, , , , , 
32,fill,67, ,61, , ,1
32,fill,305, ,62, , ,1
32,add, ,5, ,buy,5013,2
32,ackn,306, , , , , 
32,add, ,6, ,sell,5033,55
32,ackn,307, , , , , 
32,add, ,7, ,buy,4967,2
32,ackn,308, , , , , 
32,add, ,8, ,buy,4985,20
32,ackn,309, , , , , 
32,add, ,9, ,sell,5063,36
32,ackn,310, , , , , 
33,add, ,0, ,buy,5011,11
33,ackn,311, , , , , 
33,cancel,283, , , , ,25
33,add, ,2, ,sell,5067,77
33,ackn,312, , , , , 
33,add, ,3, ,buy,4886,5
33,ackn,313, , , , , 
33,add, ,4, ,buy,5008,15
33,ackn,314, , , , , 
33,add, ,5, ,sell,5057,41
33,ackn,315, , , , , 
33,add, ,6, ,sell,5037,53
33,ackn,316, , , , , 
33,add, ,7, ,buy,5011,5
33,ackn,317, , , , , 
33,add, ,8, ,buy,4998,2
33,ackn,318, , , , , 
33,cancel,96, , , , ,0
34,add, ,0, ,sell,5028,12
34,ackn,319, , , , , 
34,fill,67, ,63, , ,4
34,fill,98, ,64, , ,8
34,fill,319, ,65, , ,12
34,add, ,1, ,sell,5055,7
34,ackn,320, , , , , 
34,add, ,2, ,buy,5007,4
34,ackn,321, , , , , 
34,add, ,3, ,sell,5049,7
34,ackn,322, , , , , 
34,add, ,4, ,sell,5054,3
34,ackn,323, , , , , 
34,add, ,5, ,buy,5007,32
34,ackn,324, , , , , 
34,add, ,6, ,sell,5071,66
34,ackn,325, , , , , 
34,add, ,7, ,sell,5030,26
34,ackn,326, , , , , 
34,add, ,8, ,buy,4927,6
34,ackn,327, , , , , 
34,add, ,9, ,buy,5019,11
34,ackn,328, , , , , 
35,add, ,0, ,buy,4996,25
35,ackn,329, , , , , 
35,add, ,1, ,sell,5045,17
35,ackn,330, , , , , 
35,add, ,2, ,sell,5043,16
35,ackn,331, , , , , 
35,add, ,3, ,buy,5025,6
35,ackn,332, , , , , 
35,cancel,205, , , , ,5
35,add, ,5, ,buy,4928,7
35,ackn,333, , , , , 
35,add, ,6, ,buy,4992,84
35,ackn,334, , , , , 
35,add, ,7, ,sell,5063,56
35,ackn,335, , , , , 
35,add, ,8, ,buy,5027,8
35,ackn,336, , , , , 
35,add, ,9, ,buy,5011,30
35,ackn,337, , , , , 
36,add, ,0, ,sell,5081,5
36,ackn,338, , , , , 
36,add, ,1, ,sell,5031,7
36,ackn,339, , , , , 
36,add, ,2, ,sell,5119,9
36,ackn,340, , , , , 
36,add, ,3, ,sell,5180,43
36,ackn,341, , , , , 
36,add, ,4, ,sell,5135,33
36,ackn,342, , , , , 
36,add, ,5, ,buy,4984,35
36,ackn,343, , , , , 
36,add, ,6, ,sell,5050,78
36,ackn,344, , , , , 
36,add, ,7, ,buy,4849,54
36,ackn,345, , , , , 
36,add, ,8, ,buy,5001,21
36,ackn,346, , , , , 
36,add, ,9, ,sell,5042,26
36,ackn,347, , , , , 
37,add, ,0, ,buy,4869,12
37,ackn,348, , , , , 
37,add, ,1, ,sell,5057,11
37,ackn,349, , , , , 
37,add, ,2, ,sell,5023,69
37,ackn,350, , , , , 
37,fill,98, ,66, , ,22
37,fill,139, ,67, , ,36
37,fill,238, ,68, , ,11
37,fill,350, ,69, , ,69
37,add, ,3, ,sell,5055,36
37,ackn,351, , , , , 
37,add, ,4, ,sell,5054,32
37,ackn,352, , , , , 
37,add, ,5, ,sell,5051,26
37,ackn,353, , , , , 
37,add, ,6, ,sell,5065,4
37,ackn,354, , , , , 
37,add, ,7, ,buy,5013,19
37,ackn,355, , , , , 
37,add, ,8, ,sell,5083,49
37,ackn,356, , , , , 
37,add, ,9, ,buy,5020,7
37,ackn,357, , , , , 
38,add, ,0, ,buy,4992,3
38,ackn,358, , , , , 
38,add, ,1, ,buy,4967,73
38,ackn,359, , , , , 
38,add, ,2, ,sell,5021,12
38,ackn,360, , , , , 
38,fill,238, ,70, , ,12
38,fill,360, ,71, , ,12
38,add, ,3, ,sell,5090,40
38,ackn,361, , , , , 
38,add, ,4, ,sell,5059,3
38,ackn,362, , , , , 
38,add, ,5, ,sell,5024,55
38,ackn,363, , , , , 
38,fill,238, ,72, , ,1
38,fill,30, ,73, , ,3
38,fill,16, ,74, , ,13
38,fill,91, ,75, , ,19
38,fill,137, ,76, , ,19
38,fill,363, ,77, , ,55
38,add, ,6, ,buy,5010,33
38,ackn,364, , , , , 
38,add, ,7, ,sell,5069,40
38,ackn,365, , , , , 
38,add, ,8, ,buy,4958,84
38,ackn,366, , , , , 
38,add, ,9, ,buy,4927,12
38,ackn,367, , , , , 
39,add, ,0, ,buy,5008,22
39,ackn,368, , , , , 
39,add, ,1, ,buy,5000,3
39,ackn,369, , , , , 
39,add, ,2, ,sell,5042,27
39,ackn,370, , , , , 
39,add, ,3, ,sell,5098,8
39,ackn,371, , , , , 
39,add, ,4, ,sell,5058,87
39,ackn,372, , , , , 
39,add, ,5, ,buy,4915,14
39,ackn,373, , , , , 
39,add, ,6, ,buy,4927,17
39,ackn,374, , , , , 
39,add, ,7, ,sell,5043,4
39,ackn,375, , , , , 
39,add, ,8, ,buy,4997,31
39,ackn,376, , , , , 
39,add, ,9, ,buy,5020,52
39,ackn,377, , , , , 
40,add, ,0, ,sell,5023,58
40,ackn,378, , , , , 
40,fill,137, ,78, , ,5
40,fill,336, ,79, , ,8
40,fill,17, ,80, , ,45
40,fill,378, ,81, , ,58
40,add, ,1, ,buy,5002,5
40,ackn,379, , , , , 
40,add, ,2, ,buy,5008,4
40,ackn,380, , , , , 
40,add, ,3, ,buy,5003,17
40,ackn,381, , , , , 
40,add, ,4, ,sell,5039,3
40,ackn,382, , , , , 
40,add, ,5, ,buy,4959,30
40,ackn,383, , , , , 
40,add, ,6, ,sell,5056,25
